3	Product Version: USB-60x3
3	Executable File Version: 2.9.5,128 
3	Program Build Date: Apr  4 2017,  15:08:38
3	Customer Serial Number:  200-1550-1-1
3	Customer Name:  Avotec 
3	Customer Organization:  Avotec
3	--------------------------------------------------------
3	TimeValues	2022	9	15	18	13	22	UTC
3	TimeStamp	Thursday, September 15, 2022, 2:13:22 PM 
3	DataFormat	2.9.3,113
3	ScreenSize	143.017	107.263	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	4
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	eyeA:pupilScaleFactor	31.8958
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	 5) PupilScaleFactor (mm / normalized) is used to convert normalized pupil dimensions to millimeters.  ViewPoint calculates the PupilDiameter using the max dimension of PupilWidth and PupilHeight.
3	    Please note that the PupilWidth and PupilHeight are NOT commensurable for the Oval Fit pupil segmentation method.  You must make them commensurable before checking for the max dimension.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	APD	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	PupilDiameter	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	STARTUP.BMP
12	 0.000000	iti
10	  0.0000	  16.6848	0.3967	0.2760	0.3383	-0.0005	-1	0.1535	0.1261	1	0.0000	4.8955	0	=,+,=,+
10	  0.0167	  16.6881	0.0689	0.6633	0.2305	0.2650	8	0.1678	0.0750	1	0.0000	5.3525	1	
10	  0.0335	  16.7693	0.4436	0.7236	0.3157	0.4485	-1	0.1502	0.0958	1	0.0000	4.7921	2	
10	  0.0501	  16.6100	0.4152	0.2375	0.3555	0.3641	-1	0.1754	0.1377	1	0.0166	5.5954	3	
10	  0.0668	  16.7669	0.0490	0.4839	0.2329	0.4120	-1	0.1418	0.0803	1	0.0000	4.5221	4	
10	  0.0834	  16.6024	0.4806	0.2765	0.3320	0.3578	-1	0.1429	0.1246	1	0.0000	4.5591	5	
10	  0.1002	  16.7787	0.4717	-0.1274	0.3879	0.1637	-1	0.1397	0.1303	1	0.0000	4.4560	6	
10	  0.1168	  16.6178	0.3817	-0.2828	0.3854	-0.0149	-1	0.1482	0.1093	1	0.0000	4.7280	7	
10	  0.1336	  16.7452	0.2632	0.8471	0.3365	0.3299	-1	0.0627	0.0238	1	0.0000	1.9999	8	
10	  0.1502	  16.5867	0.4620	0.6627	0.3867	0.4630	-1	0.1399	0.1010	1	0.0000	4.4619	9	
10	  0.1670	  16.7905	0.4434	0.5497	0.4094	0.4977	-1	0.1602	0.1076	1	0.0168	5.1090	10	
10	  0.1836	  16.6290	0.2753	0.5687	0.3558	0.5261	-1	0.1576	0.0907	1	0.0334	5.0271	11	
10	  0.2003	  16.7509	0.4421	-0.2420	0.3903	0.2188	-1	0.2043	0.1256	1	0.0000	6.5169	12	
10	  0.2170	  16.6181	0.5360	-0.0741	0.4486	0.1017	9	0.1357	0.1300	1	0.0000	4.3285	13	
10	  0.2337	  16.7355	0.5404	-0.0772	0.4853	0.0301	9	0.1627	0.1209	1	0.0167	5.1888	14	
