3	Product Version: USB-60x3
3	Executable File Version: 2.9.2,5 
3	Program Build Date: Jan  5 2012,  14:10:25
3	Customer Serial Number:  200-1663-1-1
3	Customer Name:  UPMC 
3	Customer Organization:  AVOTEC
3	--------------------------------------------------------
3	TimeValues	2022	9	29	17	2	42	UTC
3	TimeStamp	Thursday, September 29, 2022, 1:02:42 PM 
3	DataFormat	2.9.0,009
3	ScreenSize	143.017	107.263	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	4
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	STARTUP.BMP
10	  0.0000	   0.0000	0.5243	0.1657	0.5279	0.1835	-1	0.1344	0.1173	1	0.0166	0	+,=,+
12	 0.019043	iti
10	  0.0168	  16.7740	0.5229	0.2089	0.5259	0.1937	-1	0.1317	0.1148	1	0.0168	1	
10	  0.0334	  16.6428	0.5279	0.1867	0.5267	0.1909	-1	0.1342	0.1143	1	0.0166	2	
10	  0.0502	  16.7642	0.5239	0.1971	0.5256	0.1934	-1	0.1340	0.1172	1	0.0168	3	
10	  0.0668	  16.6068	0.5246	0.1940	0.5252	0.1936	-1	0.1330	0.1145	1	0.0166	4	
10	  0.0836	  16.7758	0.5237	0.2228	0.5246	0.2053	-1	0.1342	0.1181	1	0.0334	5	
10	  0.1002	  16.6155	0.5201	0.1885	0.5228	0.1986	-1	0.1344	0.1182	1	0.0500	6	
10	  0.1169	  16.7173	0.5224	0.2237	0.5226	0.2086	-1	0.1330	0.1168	1	0.0667	7	
10	  0.1336	  16.6722	0.5445	0.1818	0.5314	0.1979	-1	0.1347	0.1156	1	0.0834	8	
10	  0.1502	  16.6190	0.5220	0.2318	0.5276	0.2115	-1	0.1352	0.1188	1	0.1000	9	
10	  0.1669	  16.7579	0.5351	0.2030	0.5306	0.2081	-1	0.1339	0.1176	1	0.1168	10	
10	  0.1837	  16.7485	0.5357	0.2349	0.5327	0.2188	-1	0.1331	0.1187	1	0.1335	11	
10	  0.2003	  16.5739	0.5232	0.2284	0.5289	0.2227	-1	0.1346	0.1187	1	0.1501	12	
10	  0.2170	  16.6963	0.4410	0.2274	0.4937	0.2246	-1	0.1322	0.1200	1	0.1668	13	
10	  0.2337	  16.6988	0.4198	0.2060	0.4641	0.2172	-1	0.1335	0.1169	1	0.0167	14	
10	  0.2504	  16.6949	0.4094	0.2567	0.4422	0.2330	-1	0.1298	0.1192	1	0.0167	15	
10	  0.2670	  16.6078	0.4292	0.2103	0.4370	0.2239	-1	0.1329	0.1178	1	0.0166	16	
10	  0.2837	  16.7201	0.4049	0.2078	0.4242	0.2174	-1	0.1329	0.1186	1	0.0167	17	
10	  0.3003	  16.6264	0.4075	0.1932	0.4175	0.2077	-1	0.1309	0.1154	1	0.0166	18	
10	  0.3171	  16.7824	0.4116	0.2052	0.4152	0.2067	-1	0.1310	0.1179	1	0.0168	19	
10	  0.3337	  16.6096	0.4215	0.1290	0.4177	0.1756	-1	0.1332	0.1138	1	0.0166	20	
10	  0.3505	  16.7576	0.4148	0.1888	0.4165	0.1809	-1	0.1312	0.1163	1	0.0168	21	
