3	Product Version: USB-60x3
3	Executable File Version: 2.9.5,128 
3	Program Build Date: Apr  4 2017,  15:08:38
3	Customer Serial Number:  200-1550-1-1
3	Customer Name:  Avotec 
3	Customer Organization:  Avotec
3	--------------------------------------------------------
3	TimeValues	2022	9	6	20	4	21	UTC
3	TimeStamp	Tuesday, September 06, 2022, 4:04:21 PM 
3	DataFormat	2.9.3,113
3	ScreenSize	143.017	107.263	// full screen size (not measured lines) in mm
3	ViewingDistance	100
3	InterPupillaryDistance	60
3	ImageShape	Fit
3	SmoothingMethod	ExponentialMovingAverage
3	SmoothingPoints	4
3	eyeA:pupilSegmentationMethod	Ellipse
3	eyeA:gazeNudge	0	0
3	eyeA:pupilScaleFactor	31.8958
3	--------------------------------------------------------
3	Data Notes:
3	 1) X_Gaze and Y_Gaze are uncorrected gaze values (no smoothing, etc...).
3	 2) X_CorrectedGaze and Y_CorrectedGaze are corrected gaze values that may include smoothing, averaging, parallax correction, nudging, etc...
3	 3) Regions are calculated with respect to the corrected gaze values.
3	 4) PupilWidth and PupilHeight calculations are relative to which pupil segmentation method is active.
3	    a) Ellipse - PupilWidth is the major-axis (larger value) and PupilHeight is the minor-axis (smaller value).
3	       The major-axis and the minor-axis are both normalized by the width of the EyeCamera window so the scales of the axes are commensurable.
3	    b) Oval Fit - PupilWidth is the HORIZONTAL dimension and PupilHeight is the VERTICAL dimension of the rectangular bounding box of the unrotated Oval.
3	       The HORIZONTAL and VERTICAL dimensions are both normalized by the width and height of the EyeCamera window respectively so the scales of the axes are incommensurable (see manual for details).
3	    c) Centroid - PupilWidth and PupilHeight are 0, because no pupil size is obtained.
3	 5) PupilScaleFactor (mm / normalized) is used to convert normalized pupil dimensions to millimeters.  ViewPoint calculates the PupilDiameter using the max dimension of PupilWidth and PupilHeight.
3	    Please note that the PupilWidth and PupilHeight are NOT commensurable for the Oval Fit pupil segmentation method.  You must make them commensurable before checking for the max dimension.
3	--------------------------------------------------------
3	 idName	
3	 idTest	
3	 idSession	
3	 idNotes	
3	--------------------------------------------------------
6	ATT	ADT	ALX	ALY	ACX	ACY	ARI	APW	APH	AQU	AFX	APD	CNT	MRK
5	TotalTime	DeltaTime	X_Gaze	Y_Gaze	X_CorrectedGaze	Y_CorrectedGaze	Region	PupilWidth	PupilHeight	Quality	Fixation	PupilDiameter	Count	Marker
7	 0.000000	EyeA FrameRate	60
16	 0.000000	STARTUP.BMP
12	 0.000000	iti
10	  0.0000	  16.8119	-0.5899	1.6423	-1.1938	2.2022	-1	0.1026	0.0842	1	0.0000	3.2725	0	=,+,=,+
10	  0.0166	  16.5991	-0.8405	1.9359	-1.0525	2.0957	-1	0.1150	0.1017	1	0.0000	3.6674	1	
10	  0.0332	  16.6223	-0.6517	1.5964	-0.8922	1.8960	-1	0.1076	0.1011	1	0.0000	3.4308	2	
10	  0.0500	  16.7546	-0.1730	0.5786	-0.6045	1.3690	-1	0.1105	0.0504	1	0.0000	3.5246	3	
10	  0.0666	  16.6208	-0.2063	1.2041	-0.4452	1.3031	-1	0.1140	0.0772	1	0.0000	3.6372	4	
10	  0.0833	  16.7506	-0.0974	1.3156	-0.3061	1.3081	-1	0.0506	0.0217	1	0.0000	1.6151	5	
10	  0.1000	  16.6251	-0.8251	1.8448	-0.5137	1.5228	-1	0.1100	0.0946	1	0.0000	3.5100	6	
10	  0.1167	  16.7530	-0.9841	2.0149	-0.7019	1.7196	-1	0.1099	0.0975	1	0.0000	3.5059	7	
10	  0.1333	  16.6196	-0.2710	1.1118	-0.5295	1.4765	-1	0.0931	0.0615	1	0.0000	2.9688	8	
10	  0.1501	  16.7497	-0.4993	1.5262	-0.5174	1.4964	-1	0.0943	0.0812	1	0.0167	3.0088	9	
10	  0.1667	  16.6242	-0.7157	1.7586	-0.5968	1.6013	-1	0.1208	0.1019	1	0.0000	3.8521	10	
10	  0.1835	  16.7790	-0.1720	0.7404	-0.4269	1.2569	-1	0.0923	0.0207	1	0.0000	2.9440	11	
10	  0.2001	  16.5979	-0.0919	0.6433	-0.2929	1.0115	-1	0.0994	0.0526	1	0.0000	3.1711	12	
10	  0.2169	  16.7627	-0.7854	1.8512	-0.4899	1.3474	-1	0.1115	0.1011	1	0.0000	3.5571	13	
